ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-07-01,66.54852334,25.670483494146215,95.39284384382367,66.54852334,66.54852334,-6.979642588789306,-6.979642588789306,-6.979642588789306,-3.5457513719291014,-3.5457513719291014,-3.5457513719291014,-3.4338912168602054,-3.4338912168602054,-3.4338912168602054,0.0,0.0,0.0,59.5688807512107
2015-07-02,66.64143301042655,31.65848885646763,102.10217394975562,66.64143301042655,66.64143301042655,-0.7321089871917805,-0.7321089871917805,-0.7321089871917805,3.91141999947031,3.91141999947031,3.91141999947031,-4.643528986662091,-4.643528986662091,-4.643528986662091,0.0,0.0,0.0,65.90932402323477
2015-07-03,66.73434268085308,36.111496716351546,106.47468421767189,66.73434268085308,66.73434268085308,3.783973056798004,3.783973056798004,3.783973056798004,9.696665871133206,9.696665871133206,9.696665871133206,-5.9126928143352036,-5.9126928143352036,-5.9126928143352036,0.0,0.0,0.0,70.51831573765108
2015-07-04,66.82725235127963,27.804953301488634,96.6907072594737,66.82725235127963,66.82725235127963,-4.962780123376721,-4.962780123376721,-4.962780123376721,2.2596688670877016,2.2596688670877016,2.2596688670877016,-7.2224489904644225,-7.2224489904644225,-7.2224489904644225,0.0,0.0,0.0,61.86447222790291
2015-07-05,66.92016202170618,12.96522852269062,84.72031750678431,66.92016202170618,66.92016202170618,-19.484392683219333,-19.484392683219333,-19.484392683219333,-10.932887934206502,-10.932887934206502,-10.932887934206502,-8.551504749012834,-8.551504749012834,-8.551504749012834,0.0,0.0,0.0,47.43576933848684
2015-07-06,67.0130716921327,32.02171349294405,105.11416454788298,67.0130716921327,67.0130716921327,1.3468967222835622,1.3468967222835622,1.3468967222835622,11.223608935721991,11.223608935721991,11.223608935721991,-9.876712213438429,-9.876712213438429,-9.876712213438429,0.0,0.0,0.0,68.35996841441626
2015-07-07,67.10598136255925,5.429603513532357,76.58690563695843,67.10598136255925,67.10598136255925,-23.786363109489145,-23.786363109489145,-23.786363109489145,-12.612724367262354,-12.612724367262354,-12.612724367262354,-11.173638742226789,-11.173638742226789,-11.173638742226789,0.0,0.0,0.0,43.319618253070104
2015-07-08,67.1988910329858,17.061818358560885,87.36394373865159,67.1988910329858,67.1988910329858,-15.962940033097038,-15.962940033097038,-15.962940033097038,-3.5457513718893456,-3.5457513718893456,-3.5457513718893456,-12.417188661207689,-12.417188661207689,-12.417188661207689,0.0,0.0,0.0,51.23595099988876
2015-07-09,67.29180070341232,21.236033027788668,90.7795250285276,67.29180070341232,67.29180070341232,-9.67083962895437,-9.67083962895437,-9.67083962895437,3.9114199994625305,3.9114199994625305,3.9114199994625305,-13.582259628416903,-13.582259628416903,-13.582259628416903,0.0,0.0,0.0,57.62096107445795
2015-07-10,67.38471037383887,28.495692151267235,98.57540932765812,67.38471037383887,67.38471037383887,-4.9477497271498345,-4.9477497271498345,-4.9477497271498345,9.696665871130485,9.696665871130485,9.696665871130485,-14.64441559828032,-14.64441559828032,-14.64441559828032,0.0,0.0,0.0,62.43696064668904
2015-07-11,67.47762004426541,22.517659392771723,88.52407952191471,67.47762004426541,67.47762004426541,-13.320888711303764,-13.320888711303764,-13.320888711303764,2.259668867041403,2.259668867041403,2.259668867041403,-15.580557578345168,-15.580557578345168,-15.580557578345168,0.0,0.0,0.0,54.15673133296164
2015-07-12,67.57052971469194,4.299363115533126,75.21066457697749,67.57052971469194,67.57052971469194,-27.302461066733212,-27.302461066733212,-27.302461066733212,-10.932887934207397,-10.932887934207397,-10.932887934207397,-16.369573132525815,-16.369573132525815,-16.369573132525815,0.0,0.0,0.0,40.26806864795873
2015-07-13,67.6634393851185,29.79289216218841,99.87782292988801,67.6634393851185,67.6634393851185,-5.769336957395593,-5.769336957395593,-5.769336957395593,11.223608935719302,11.223608935719302,11.223608935719302,-16.992945893114896,-16.992945893114896,-16.992945893114896,0.0,0.0,0.0,61.8941024277229
2015-07-14,67.75634905554503,3.421089220332888,71.81260227583006,67.75634905554503,67.75634905554503,-30.048031564369907,-30.048031564369907,-30.048031564369907,-12.612724367264027,-12.612724367264027,-12.612724367264027,-17.43530719710588,-17.43530719710588,-17.43530719710588,0.0,0.0,0.0,37.70831749117512
2015-07-15,67.84925872597157,10.96020866038396,81.99633418147008,67.84925872597157,67.84925872597157,-21.230664714053837,-21.230664714053837,-21.230664714053837,-3.5457513719534663,-3.5457513719534663,-3.5457513719534663,-17.684913342100373,-17.684913342100373,-17.684913342100373,0.0,0.0,0.0,46.61859401191773
2015-07-16,67.94216839639812,22.918142365662412,88.53002002134465,67.94216839639812,67.94216839639812,-13.822613829869253,-13.822613829869253,-13.822613829869253,3.9114199994873884,3.9114199994873884,3.9114199994873884,-17.73403382935664,-17.73403382935664,-17.73403382935664,0.0,0.0,0.0,54.11955456652886
2015-07-17,68.03507806682465,24.767035406129786,95.90598777820921,68.03507806682465,68.03507806682465,-7.882572406437807,-7.882572406437807,-7.882572406437807,9.696665871127763,9.696665871127763,9.696665871127763,-17.57923827756557,-17.57923827756557,-17.57923827756557,0.0,0.0,0.0,60.15250566038684
2015-07-18,68.12798773725119,18.701846808216327,90.65388144306401,68.12798773725119,68.12798773725119,-14.961903521588765,-14.961903521588765,-14.961903521588765,2.259668867043973,2.259668867043973,2.259668867043973,-17.22157238863274,-17.22157238863274,-17.22157238863274,0.0,0.0,0.0,53.16608421566242
2015-07-19,68.22089740767773,5.025185015003315,76.55156623836207,68.22089740767773,68.22089740767773,-27.599504286512634,-27.599504286512634,-27.599504286512634,-10.932887934179057,-10.932887934179057,-10.932887934179057,-16.666616352333573,-16.666616352333573,-16.666616352333573,0.0,0.0,0.0,40.62139312116509
2015-07-20,68.31380707810428,28.436354121661697,98.31584281226047,68.31380707810428,68.31380707810428,-4.700813371027188,-4.700813371027188,-4.700813371027188,11.223608935719732,11.223608935719732,11.223608935719732,-15.924422306746917,-15.924422306746917,-15.924422306746917,0.0,0.0,0.0,63.61299370707709
2015-07-21,68.40671674853083,4.391503309113926,75.44489120672856,68.40671674853083,68.40671674853083,-27.622055202420597,-27.622055202420597,-27.622055202420597,-12.612724367267832,-12.612724367267832,-12.612724367267832,-15.009330835152763,-15.009330835152763,-15.009330835152763,0.0,0.0,0.0,40.78466154611023
2015-07-22,68.49962642227956,18.06140565439703,85.64645619538528,68.49962642227956,68.49962642227956,-17.485421254062427,-17.485421254062427,-17.485421254062427,-3.5457513719137124,-3.5457513719137124,-3.5457513719137124,-13.939669882148713,-13.939669882148713,-13.939669882148713,0.0,0.0,0.0,51.01420516821713
2015-07-23,68.59253609602831,23.756520391684266,95.17749673691428,68.59253609602831,68.59253609602831,-8.82592281528118,-8.82592281528118,-8.82592281528118,3.9114199995122467,3.9114199995122467,3.9114199995122467,-12.737342814793427,-12.737342814793427,-12.737342814793427,0.0,0.0,0.0,59.76661328074713
2015-07-24,68.68544576977708,31.914723498909513,102.92282151870528,68.68544576977708,68.68544576977708,-1.7306496707859191,-1.7306496707859191,-1.7306496707859191,9.696665871108289,9.696665871108289,9.696665871108289,-11.427315541894208,-11.427315541894208,-11.427315541894208,0.0,0.0,0.0,66.95479609899115
2015-07-25,68.77835544352583,24.775468675794865,95.67207018885215,68.77835544352583,68.77835544352583,-7.777346676465494,-7.777346676465494,-7.777346676465494,2.259668867021231,2.259668867021231,2.259668867021231,-10.037015543486724,-10.037015543486724,-10.037015543486724,0.0,0.0,0.0,61.001008767060334
2015-07-26,68.87126511727456,17.264827665806752,85.8048366336665,68.87126511727456,68.87126511727456,-19.528546200670544,-19.528546200670544,-19.528546200670544,-10.932887934225045,-10.932887934225045,-10.932887934225045,-8.5956582664455,-8.5956582664455,-8.5956582664455,0.0,0.0,0.0,49.342718916604014
2015-07-27,68.96417479102332,37.18315029231232,108.20698445411104,68.96417479102332,68.96417479102332,4.090090402406267,4.090090402406267,4.090090402406267,11.22360893572777,11.22360893572777,11.22360893572777,-7.1335185333215,-7.1335185333215,-7.1335185333215,0.0,0.0,0.0,73.05426519342959
2015-07-28,69.05708446477207,16.72090653674838,84.7578681492739,69.05708446477207,69.05708446477207,-18.293890691355198,-18.293890691355198,-18.293890691355198,-12.612724367271639,-12.612724367271639,-12.612724367271639,-5.681166324083558,-5.681166324083558,-5.681166324083558,0.0,0.0,0.0,50.76319377341687
2015-07-29,69.14999413852082,24.94822046049669,97.04801747469236,69.14999413852082,69.14999413852082,-7.8144388428551,-7.8144388428551,-7.8144388428551,-3.545751371918081,-3.545751371918081,-3.545751371918081,-4.268687470937021,-4.268687470937021,-4.268687470937021,0.0,0.0,0.0,61.33555529566573
2015-07-30,69.24290381226959,35.25782296480172,104.21203659495728,69.24290381226959,69.24290381226959,0.9865095826530391,0.9865095826530391,0.9865095826530391,3.911419999479971,3.911419999479971,3.911419999479971,-2.924910416826932,-2.924910416826932,-2.924910416826932,0.0,0.0,0.0,70.22941339492263
2015-07-31,69.33581348601832,40.620101055958656,111.37557563014595,69.33581348601832,69.33581348601832,8.020005664381934,8.020005664381934,8.020005664381934,9.696665871164393,9.696665871164393,9.696665871164393,-1.6766602067824583,-1.6766602067824583,-1.6766602067824583,0.0,0.0,0.0,77.35581915040027
2015-08-01,69.42872315976707,37.73634767015257,105.91900612910814,69.42872315976707,69.42872315976707,1.7116085646459118,1.7116085646459118,1.7116085646459118,2.2596688670238017,2.2596688670238017,2.2596688670238017,-0.5480603023778899,-0.5480603023778899,-0.5480603023778899,0.0,0.0,0.0,71.14033172441299
2015-08-02,69.52163283351584,23.621195565540006,95.73626588722163,69.52163283351584,69.52163283351584,-10.49278957982932,-10.49278957982932,-10.49278957982932,-10.932887934196708,-10.932887934196708,-10.932887934196708,0.44009835436738826,0.44009835436738826,0.44009835436738826,0.0,0.0,0.0,59.02884325368652
2015-08-03,69.61454250726459,44.803659393287376,117.40110843155516,69.61454250726459,69.61454250726459,12.494512257735854,12.494512257735854,12.494512257735854,11.223608935725078,11.223608935725078,11.223608935725078,1.2709033220107773,1.2709033220107773,1.2709033220107773,0.0,0.0,0.0,82.10905476500044
2015-08-04,69.70745218101334,22.560568627968948,92.1290146784751,69.70745218101334,69.70745218101334,-10.68095815545485,-10.68095815545485,-10.68095815545485,-12.612724367275447,-12.612724367275447,-12.612724367275447,1.931766211820596,1.931766211820596,1.931766211820596,0.0,0.0,0.0,59.02649402555849
2015-08-05,69.80036185476209,31.824435194190343,103.79455621135646,69.80036185476209,69.80036185476209,-1.1309963512210597,-1.1309963512210597,-1.1309963512210597,-3.5457513718939544,-3.5457513718939544,-3.5457513718939544,2.4147550206728945,2.4147550206728945,2.4147550206728945,0.0,0.0,0.0,68.66936550354103
2015-08-06,69.89327152851084,42.709587769155256,114.58292731327923,69.89327152851084,69.89327152851084,6.6282235155090135,6.6282235155090135,6.6282235155090135,3.911419999529324,3.911419999529324,3.911419999529324,2.7168035159796884,2.7168035159796884,2.7168035159796884,0.0,0.0,0.0,76.52149504401984
2015-08-07,69.98618120225959,45.89722435335299,116.85498312066848,69.98618120225959,69.98618120225959,12.536457169985901,12.536457169985901,12.536457169985901,9.696665871086092,9.696665871086092,9.696665871086092,2.8397912988998084,2.8397912988998084,2.8397912988998084,0.0,0.0,0.0,82.5226383722455
2015-08-08,70.07909087600835,39.99515156539133,109.23976587652868,70.07909087600835,70.07909087600835,5.050160594200751,5.050160594200751,5.050160594200751,2.2596688670263707,2.2596688670263707,2.2596688670263707,2.7904917271743797,2.7904917271743797,2.7904917271743797,0.0,0.0,0.0,75.1292514702091
2015-08-09,70.17200054975709,27.344208492648402,97.1579773683634,70.17200054975709,70.17200054975709,-8.352499400183515,-8.352499400183515,-8.352499400183515,-10.932887934197602,-10.932887934197602,-10.932887934197602,2.5803885340140873,2.5803885340140873,2.5803885340140873,0.0,0.0,0.0,61.81950114957357
2015-08-10,70.26491022350584,51.33087694213417,117.02951923136688,70.26491022350584,70.26491022350584,13.44897456706149,13.44897456706149,13.44897456706149,11.223608935721701,11.223608935721701,11.223608935721701,2.225365631339788,2.225365631339788,2.225365631339788,0.0,0.0,0.0,83.71388479056733
2015-08-11,70.35781985266783,26.461302750269137,96.44205604447063,70.35781985266783,70.35781985266783,-10.867446236661607,-10.867446236661607,-10.867446236661607,-12.61272436727712,-12.61272436727712,-12.61272436727712,1.745278130615513,1.745278130615513,1.745278130615513,0.0,0.0,0.0,59.490373616006224
2015-08-12,70.45072948182981,34.665412889854366,104.67998027409898,70.45072948182981,70.45072948182981,-2.3823354208812138,-2.3823354208812138,-2.3823354208812138,-3.545751371898322,-3.545751371898322,-3.545751371898322,1.1634159510171078,1.1634159510171078,1.1634159510171078,0.0,0.0,0.0,68.06839406094859
2015-08-13,70.5436391109918,38.63555401907924,111.02742794868672,70.5436391109918,70.5436391109918,4.417294416499503,4.417294416499503,4.417294416499503,3.9114199994644117,3.9114199994644117,3.9114199994644117,0.5058744170350915,0.5058744170350915,0.5058744170350915,0.0,0.0,0.0,74.9609335274913
2015-08-14,70.63654874015378,44.91371228373886,117.77523036293252,70.63654874015378,70.63654874015378,9.497514759103376,9.497514759103376,9.497514759103376,9.696665871125443,9.696665871125443,9.696665871125443,-0.1991511120220656,-0.1991511120220656,-0.1991511120220656,0.0,0.0,0.0,80.13406349925717
2015-08-15,70.72945836931576,38.02313417755114,108.40014381310321,70.72945836931576,70.72945836931576,1.3375415005774234,1.3375415005774234,1.3375415005774234,2.259668867028941,2.259668867028941,2.259668867028941,-0.9221273664515175,-0.9221273664515175,-0.9221273664515175,0.0,0.0,0.0,72.0669998698932
2015-08-16,70.82236799847776,20.196639051297243,94.02910480798667,70.82236799847776,70.82236799847776,-12.565869125842978,-12.565869125842978,-12.565869125842978,-10.932887934185127,-10.932887934185127,-10.932887934185127,-1.6329811916578518,-1.6329811916578518,-1.6329811916578518,0.0,0.0,0.0,58.25649887263478
2015-08-17,70.91527762763972,40.77410309677654,115.67906207728363,70.91527762763972,70.91527762763972,8.921697371273998,8.921697371273998,8.921697371273998,11.223608935722817,11.223608935722817,11.223608935722817,-2.3019115644488197,-2.3019115644488197,-2.3019115644488197,0.0,0.0,0.0,79.83697499891372
2015-08-18,71.00818725680172,21.970944987590336,91.25917875300543,71.00818725680172,71.00818725680172,-15.51291761412844,-15.51291761412844,-15.51291761412844,-12.612724367258553,-12.612724367258553,-12.612724367258553,-2.900193246869888,-2.900193246869888,-2.900193246869888,0.0,0.0,0.0,55.49526964267328
2015-08-19,71.10109688596371,28.261221250230868,101.05418490489605,71.10109688596371,71.10109688596371,-6.94670128243649,-6.94670128243649,-6.94670128243649,-3.545751371902692,-3.545751371902692,-3.545751371902692,-3.4009499105337984,-3.4009499105337984,-3.4009499105337984,0.0,0.0,0.0,64.15439560352722
2015-08-20,71.1940065151257,36.21054440266348,105.77840739514599,71.1940065151257,71.1940065151257,0.1315446225780426,0.1315446225780426,0.1315446225780426,3.9114199995464025,3.9114199995464025,3.9114199995464025,-3.7798753769683597,-3.7798753769683597,-3.7798753769683597,0.0,0.0,0.0,71.32555113770374
2015-08-21,71.28691614428767,39.87555383636215,112.56977157411372,71.28691614428767,71.28691614428767,5.680782833463542,5.680782833463542,5.680782833463542,9.696665871181546,9.696665871181546,9.696665871181546,-4.015883037718004,-4.015883037718004,-4.015883037718004,0.0,0.0,0.0,76.96769897775121
2015-08-22,71.37982577344967,34.371110423401106,106.04504758426098,71.37982577344967,71.37982577344967,-1.8319966366407774,-1.8319966366407774,-1.8319966366407774,2.259668867006199,2.259668867006199,2.259668867006199,-4.0916655036469765,-4.0916655036469765,-4.0916655036469765,0.0,0.0,0.0,69.54782913680889
2015-08-23,71.47273540261165,18.41609969288011,91.50727952296221,71.47273540261165,71.47273540261165,-14.927036965468393,-14.927036965468393,-14.927036965468393,-10.93288793418602,-10.93288793418602,-10.93288793418602,-3.994149031282373,-3.994149031282373,-3.994149031282373,0.0,0.0,0.0,56.54569843714326
2015-08-24,71.56564503177364,42.53934869511715,115.55565551929986,71.56564503177364,71.56564503177364,7.508778719810309,7.508778719810309,7.508778719810309,11.223608935720128,11.223608935720128,11.223608935720128,-3.71483021590982,-3.71483021590982,-3.71483021590982,0.0,0.0,0.0,79.07442375158395
2015-08-25,71.65855466093562,20.15607238251944,91.7154071158222,71.65855466093562,71.65855466093562,-15.86271011099581,-15.86271011099581,-15.86271011099581,-12.612724367284734,-12.612724367284734,-12.612724367284734,-3.2499857437110746,-3.2499857437110746,-3.2499857437110746,0.0,0.0,0.0,55.795844549939815
2015-08-26,71.7514642900976,29.67383145280371,104.42619082614435,71.7514642900976,71.7514642900976,-6.146500937735022,-6.146500937735022,-6.146500937735022,-3.5457513719070612,-3.5457513719070612,-3.5457513719070612,-2.6007495658279605,-2.6007495658279605,-2.6007495658279605,0.0,0.0,0.0,65.60496335236257
2015-08-27,71.8443739192596,39.616874265962615,110.05919434346767,71.8443739192596,71.8443739192596,2.1383644051133452,2.1383644051133452,2.1383644051133452,3.911419999481491,3.911419999481491,3.911419999481491,-1.7730555943681452,-1.7730555943681452,-1.7730555943681452,0.0,0.0,0.0,73.98273832437295
2015-08-28,71.93728354842158,43.335663106405796,114.90262382877485,71.93728354842158,71.93728354842158,8.919218053010594,8.919218053010594,8.919218053010594,9.69666587116207,9.69666587116207,9.69666587116207,-0.7774478181514763,-0.7774478181514763,-0.7774478181514763,0.0,0.0,0.0,80.85650160143217
2015-08-29,72.03019317758356,39.601614276267426,109.69640420597379,72.03019317758356,72.03019317758356,2.630905381022261,2.630905381022261,2.630905381022261,2.2596688670576373,2.2596688670576373,2.2596688670576373,0.37123651396462365,0.37123651396462365,0.37123651396462365,0.0,0.0,0.0,74.66109855860581
2015-08-30,72.12310280674555,24.7315749979919,96.99926191932063,72.12310280674555,72.12310280674555,-9.278586534821422,-9.278586534821422,-9.278586534821422,-10.932887934232006,-10.932887934232006,-10.932887934232006,1.654301399410586,1.654301399410586,1.654301399410586,0.0,0.0,0.0,62.84451627192413
2015-08-31,72.21601243590754,51.34400690053662,120.67617422863802,72.21601243590754,72.21601243590754,14.273340633968578,14.273340633968578,14.273340633968578,11.223608935725048,11.223608935725048,11.223608935725048,3.0497316982435296,3.0497316982435296,3.0497316982435296,0.0,0.0,0.0,86.48935306987612
2015-09-01,72.30892205333572,29.221344534939654,102.57936675123693,72.30892205333572,72.30892205333572,-8.079902070080903,-8.079902070080903,-8.079902070080903,-12.612724367286406,-12.612724367286406,-12.612724367286406,4.532822297205503,4.532822297205503,4.532822297205503,0.0,0.0,0.0,64.22901998325482
2015-09-02,72.4018316707639,37.39154831825229,111.61086805354033,72.4018316707639,72.4018316707639,2.531127345273137,2.531127345273137,2.531127345273137,-3.545751371882934,-3.545751371882934,-3.545751371882934,6.07687871715607,6.07687871715607,6.07687871715607,0.0,0.0,0.0,74.93295901603703
2015-09-03,72.49474128819209,48.560122563626585,119.1427593697297,72.49474128819209,72.49474128819209,11.56538903091305,11.56538903091305,11.56538903091305,3.9114199995063474,3.9114199995063474,3.9114199995063474,7.653969031406702,7.653969031406702,7.653969031406702,0.0,0.0,0.0,84.06013031910514
2015-09-04,72.58765090562028,54.618007779395185,125.17161468626179,72.58765090562028,72.58765090562028,18.93237137933981,18.93237137933981,18.93237137933981,9.696665871201425,9.696665871201425,9.696665871201425,9.235705508138386,9.235705508138386,9.235705508138386,0.0,0.0,0.0,91.52002228496009
2015-09-05,72.68056052304846,51.70862772967434,119.38671536316052,72.68056052304846,72.68056052304846,13.053702418804654,13.053702418804654,13.053702418804654,2.259668867011339,2.259668867011339,2.259668867011339,10.794033551793314,10.794033551793314,10.794033551793314,0.0,0.0,0.0,85.7342629418531
